model,point_bin_Acc,point_bin_F1,point_bin_Prec,point_bin_Rec,point_bin_AUC,point_mac_Acc,point_mac_F1,point_mac_Prec,point_mac_Rec,point_mac_AUC,boot_bin_Acc_mean,boot_bin_F1_mean,boot_bin_Prec_mean,boot_bin_Rec_mean,boot_bin_AUC_mean,boot_mac_Acc_mean,boot_mac_F1_mean,boot_mac_Prec_mean,boot_mac_Rec_mean,boot_mac_AUC_mean,boot_bin_Acc_lo,boot_bin_F1_lo,boot_bin_Prec_lo,boot_bin_Rec_lo,boot_bin_AUC_lo,boot_mac_Acc_lo,boot_mac_F1_lo,boot_mac_Prec_lo,boot_mac_Rec_lo,boot_mac_AUC_lo,boot_bin_Acc_hi,boot_bin_F1_hi,boot_bin_Prec_hi,boot_bin_Rec_hi,boot_bin_AUC_hi,boot_mac_Acc_hi,boot_mac_F1_hi,boot_mac_Prec_hi,boot_mac_Rec_hi,boot_mac_AUC_hi
BiLSTM,87.84583399968015,63.717377466581794,69.22544951590595,59.02122641509434,89.47963969747721,87.84583399968015,78.20882000049971,80.2325646772824,76.61479749856038,89.47963969747721,87.85063169678554,63.727660301350014,69.23159293963691,59.04091933412658,89.48257285552177,87.85063169678554,78.21530229504974,80.23816420290828,76.6249494474231,89.48257285552177,87.38738738738738,62.35480506026647,67.48611477841735,57.448592136201064,88.90315524422992,87.38738738738738,77.44294192907687,79.35476102891165,75.79249436003951,88.90315524422992,88.32600351831121,65.15522849720165,70.90223550028249,60.69884385279803,90.09346869715628,88.32600351831121,79.04682983210725,81.14861012116161,77.45812006273991,90.09346869715628
LTN,87.32341809264886,64.99852811304092,64.90299823633157,65.09433962264151,89.55053772418476,87.32341809264886,78.62932524646968,78.59657953751852,78.66222154555645,89.55053772418476,87.32103523641985,64.99325908978659,64.8846393931686,65.10894722641069,89.55480823840195,87.32103523641985,78.62573357386384,78.58910964835928,78.666136510591,89.55480823840195,86.83285356362279,63.57849909092568,63.20841552119135,63.44697857372823,88.99159979854457,86.83285356362279,77.83404016296933,77.75184510280708,77.80453794188259,88.99159979854457,87.8031878031878,66.34717988056586,66.47059687057441,66.81830620648942,90.13716888081157,87.8031878031878,79.42173684703245,79.42820922958059,79.5414253042019,90.13716888081157
NeSy-SMP,86.43317874087106,64.67730742539904,61.10674009965906,68.69103773584906,89.2354759908822,86.43317874087106,78.14078481156798,77.00058000567056,79.52024392811845,89.2354759908822,86.43528972759742,64.676438241241,61.107583659184144,68.69526449679522,89.23954312254817,86.43528972759742,78.1409701996493,77.0019050324819,79.52295748357987,89.23954312254817,85.95340903033211,63.36243017766665,59.61663320896198,67.05869546657559,88.67604430146775,85.95340903033211,77.38002262710413,76.20115152437049,78.71089844626877,88.67604430146775,86.94000213230983,65.9947003358816,62.62412864051833,70.28184797420812,89.8460835369034,86.94000213230983,78.92775736133402,77.8260512168751,80.35841737596692,89.8460835369034
RF,87.49933365317982,52.65495659196446,83.53619474695708,38.443396226415096,89.49891360867628,87.49933365317982,72.72698697094,85.69762406262844,68.38549065566866,89.49891360867628,87.504851004851,52.669365855369385,83.55212623824296,38.460928552560596,89.50392683374082,87.504851004851,72.73569311021232,85.70792780193034,68.39493350844504,89.50392683374082,87.03009222239992,51.026483581986774,81.72357974895112,36.80615274224499,88.88804689887792,87.03009222239992,71.81009979961864,84.76936417314685,67.57646435349173,88.88804689887792,87.97910336371875,54.36790080012586,85.30073281225647,40.15815782239353,90.06035776661585,87.97910336371875,73.64820229729258,86.62222752200638,69.23270704885397,90.06035776661585
XGBoost,88.51218081987314,64.25609553823189,73.45468335229427,57.10495283018868,90.83877130115869,88.51218081987314,78.70621792377312,82.21487424034513,76.27486855409349,90.83877130115869,88.51706914014606,64.26885742079637,73.46103276634422,57.12773369249514,90.8438559616337,88.51706914014606,78.71392892962972,82.22075791553955,76.286296428669,90.8438559616337,88.05373420758036,62.82573341253491,71.72413120662758,55.417239843927085,90.32325845755682,88.05373420758036,77.90203177905425,81.33766592775048,75.41755912782727,90.32325845755682,88.9706274321659,65.60634099390565,75.11336595129545,58.72729726781916,91.36272342851703,88.9706274321659,79.4886729339204,83.07908083083741,77.08631402296407,91.36272342851703
