model,point_bin_Acc,point_bin_F1,point_bin_Prec,point_bin_Rec,point_bin_AUC,point_mac_Acc,point_mac_F1,point_mac_Prec,point_mac_Rec,point_mac_AUC,boot_bin_Acc_mean,boot_bin_F1_mean,boot_bin_Prec_mean,boot_bin_Rec_mean,boot_bin_AUC_mean,boot_mac_Acc_mean,boot_mac_F1_mean,boot_mac_Prec_mean,boot_mac_Rec_mean,boot_mac_AUC_mean,boot_bin_Acc_lo,boot_bin_F1_lo,boot_bin_Prec_lo,boot_bin_Rec_lo,boot_bin_AUC_lo,boot_mac_Acc_lo,boot_mac_F1_lo,boot_mac_Prec_lo,boot_mac_Rec_lo,boot_mac_AUC_lo,boot_bin_Acc_hi,boot_bin_F1_hi,boot_bin_Prec_hi,boot_bin_Rec_hi,boot_bin_AUC_hi,boot_mac_Acc_hi,boot_mac_F1_hi,boot_mac_Prec_hi,boot_mac_Rec_hi,boot_mac_AUC_hi
BiLSTM,90.03017948853709,72.0995703067121,75.34840507897181,69.11931818181817,92.14273354354373,90.03017948853709,83.0151356771272,84.20313343742944,81.96969358039956,92.14273354354373,90.0289299518187,72.08285716050825,75.30936780358616,69.12683936729015,92.14091287168836,90.0289299518187,83.00654631310839,84.18684330413106,81.96981138352884,92.14091287168836,89.59601842537195,70.85223657300396,73.85217822479964,67.65457009750367,91.60350992148902,89.59601842537195,82.30521176277048,83.4333905228924,81.19615426681419,91.60350992148902,90.43799968232118,73.18320989459697,76.76581502794699,70.52621225734433,92.63582870444635,90.43799968232118,83.65971238683026,84.90929900158447,82.69048528281806,92.63582870444635
LTN,90.0460634298724,71.6354858177429,76.38352638352637,67.44318181818181,91.94924502475789,90.0460634298724,82.79969885827106,84.56035435723629,81.33335638055574,91.94924502475789,90.05225816699317,71.64259395469539,76.35883593466491,67.48034940580087,91.95172702639353,90.05225816699317,82.80520656961973,84.55447300211625,81.34931965872057,91.95172702639353,89.6064753534177,70.30659863694133,74.85675185930198,65.92634803125743,91.44974107671524,89.6064753534177,82.02922737376436,83.77092865541778,80.52210720672126,91.44974107671524,90.469635198814,72.8068505350775,77.81371175702779,68.98214123895659,92.45805904830473,90.469635198814,83.51001375099696,85.29465589269536,82.13250188511749,92.45805904830473
NeSy-SMP,89.71250066183089,72.06326383896477,72.95487627365357,71.19318181818181,91.84830835852506,89.71250066183089,82.87935572622499,83.19630948034218,82.57387990499122,91.84830835852506,89.71600042357177,72.06190188935096,72.9269188627459,71.22250225467906,91.8471064605234,89.71600042357177,82.87984791052097,83.18784495123899,82.5855063377191,91.8471064605234,89.28892889288929,70.82638099109776,71.45340041383923,69.69218148799226,91.31044389655607,89.28892889288929,82.14871179955075,82.42976098004077,81.78696598700236,91.31044389655607,90.13620479695028,73.25692851700067,74.35532493721193,72.70455039634315,92.38399034363725,90.13620479695028,83.56909162016206,83.95209089845837,83.32897316323175,92.38399034363725
RF,89.17244665643035,62.89239702413355,87.04168759417378,49.23295454545455,91.47994965599247,89.17244665643035,78.27693340962745,88.23260989557173,73.77701608967267,91.47994965599247,89.18217292317469,62.90344111527405,87.03085140703568,49.25487609103651,91.47833291772547,89.18217292317469,78.28547290439255,88.23319344798394,73.78756501884426,91.47833291772547,88.73285857997564,61.31558057047806,85.51291449802123,47.552022965928664,90.90206615461835,88.73285857997564,77.37873063282973,87.38685687464414,72.94718479281697,90.90206615461835,89.64380261555567,64.3422180703342,88.47147268583193,50.90343023577233,91.97410681943077,89.64380261555567,79.10886624178742,88.9640143139282,74.61952328149683,91.97410681943077
XGBoost,90.12548313654895,70.64379033527467,79.20931874338157,63.74999999999999,92.86361676733496,90.12548313654895,82.35413475262827,85.63057191685087,79.95855567124357,92.86361676733496,90.13483877799545,70.66377605117502,79.18346471386697,63.80429788619034,92.86065318400108,90.13483877799545,82.3669425429243,85.62596472948469,79.98268334988018,92.86065318400108,89.70191136760735,69.45875789337832,77.78490422290753,62.19851865543366,92.39523550758534,89.70191136760735,81.64927826282695,84.88559854296474,79.19632682092642,92.39523550758534,90.538465611267,71.90760343005259,80.64407667921759,65.31521110468479,93.30878439038138,90.538465611267,83.08625192725688,86.39739904888012,80.76410965997682,93.30878439038138
