model,Acc_mean,Acc_std,Acc_paper,Acc_diff,F1_mean,F1_std,F1_paper,F1_diff,Prec_mean,Prec_std,Prec_paper,Prec_diff,Rec_mean,Rec_std,Rec_paper,Rec_diff,AUC_mean,AUC_std,AUC_paper,AUC_diff
BiLSTM,90.0300921419424,0.7337724221291512,83.53,6.500092141942403,83.0260682235749,1.0056092465944622,76.82,6.206068223574903,84.28625824732492,1.7115770330610378,77.91,6.376258247324927,81.96963275072157,0.7243975829037802,76.22,5.749632750721574,92.22788951814668,0.5706665985033179,85.35,6.877889518146688
LTN,90.04600299407701,0.567113884533029,85.65,4.3960029940770085,82.80702548179077,0.7080868405994534,79.2,3.607025481790771,84.6378905599598,1.441457567016854,80.63,4.0078905599598045,81.33331016473977,0.5039296904330853,78.06,3.273310164739769,92.27098866584336,0.5849185863787896,88.1,4.1709886658433675
NeSy-SMP,89.71247357827244,0.4568451280668179,86.45,3.2624735782724343,82.88419162490106,0.5959625464879826,80.35,2.5341916249010694,83.22243727062241,0.9589013238930472,81.86,1.362437270622408,82.57386331397056,0.3358957881644002,79.14,3.433863313970562,92.27275242058973,0.42176269911462644,88.33,3.942752420589727
RF,89.17247590771538,0.3359922042182648,84.78,4.392475907715379,78.27452075761197,0.6990560439170328,74.77,3.504520757611971,88.25216733504541,1.0161421294193598,83.07,5.1821673350454205,73.77703173568577,0.6525892136756083,71.48,2.2970317356857635,91.48594853531631,0.5236611075560063,88.11,3.3759485353163114
XGBoost,90.12549138000993,0.2568690793568261,85.31,4.815491380009931,82.35502204640918,0.37722150001697397,77.86,4.495022046409176,85.64550609815532,0.6946425555837573,80.9,4.745506098155317,79.95857298366087,0.33190898285078196,75.86,4.098572983660873,92.8749920382144,0.31137555319073656,88.56,4.314992038214399
