model,Acc_mean,Acc_std,Acc_paper,Acc_diff,F1_mean,F1_std,F1_paper,F1_diff,Prec_mean,Prec_std,Prec_paper,Prec_diff,Rec_mean,Rec_std,Rec_paper,Rec_diff,AUC_mean,AUC_std,AUC_paper,AUC_diff
BiLSTM,89.95603351650716,0.4122062951445427,83.53,6.426033516507161,82.65997493477889,0.7055090059715309,76.82,5.839974934778894,84.42315982150487,1.0086888243682315,77.91,6.513159821504871,81.24521148549951,1.0371067267961425,76.22,5.025211485499511,92.27905139775103,0.5117520590168022,85.35,6.929051397751039
LTN,89.7018803594182,0.5898577160079436,85.65,4.051880359418192,82.70156621222192,0.8485270497146784,79.2,3.501566212221917,83.4523846929242,1.4087181812379574,80.63,2.822384692924203,82.11841099358158,1.2425648150308233,78.06,4.058410993581575,92.00242431829889,0.8084024456637685,88.1,3.9024243182988982
NeSy-SMP,89.6436148525394,0.626817155440148,86.45,3.1936148525393975,82.54370273445618,0.9032545896565156,80.35,2.1937027344561812,83.39137092611728,1.3985527944126237,81.86,1.531370926117276,81.84166852327382,1.0586050204747264,79.14,2.701668523273824,92.08994911982938,0.5063889354427757,88.33,3.759949119829386
RF,89.17247590771538,0.3359922042182648,84.78,4.392475907715379,78.27452075761197,0.6990560439170328,74.77,3.504520757611971,88.25216733504541,1.0161421294193598,83.07,5.1821673350454205,73.77703173568577,0.6525892136756083,71.48,2.2970317356857635,91.48594853531631,0.5236611075560063,88.11,3.3759485353163114
XGBoost,90.12549138000993,0.2568690793568261,85.31,4.815491380009931,82.35502204640918,0.37722150001697397,77.86,4.495022046409176,85.64550609815532,0.6946425555837573,80.9,4.745506098155317,79.95857298366087,0.33190898285078196,75.86,4.098572983660873,92.8749920382144,0.31137555319073656,88.56,4.314992038214399
