model,Acc_mean,Acc_std,Acc_paper,Acc_diff,F1_mean,F1_std,F1_paper,F1_diff,Prec_mean,Prec_std,Prec_paper,Prec_diff,Rec_mean,Rec_std,Rec_paper,Rec_diff,AUC_mean,AUC_std,AUC_paper,AUC_diff
BiLSTM,87.96309186064954,0.39289269140527644,83.53,4.43309186064954,78.03434395447078,1.1346106356419454,76.82,1.2143439544707917,80.75432200013668,0.5149618314235442,77.91,2.8443220001366853,76.07771820878183,1.5372776456205974,76.22,-0.1422817912181671,89.59438319675117,0.7256209357629351,85.35,4.244383196751173
LTN,87.1048544837226,0.3060100073506283,85.65,1.454854483722599,78.15806151679007,0.8476855067300028,79.2,-1.0419384832099325,78.25319858646158,0.4106984578308554,80.63,-2.3768014135384163,78.09269166951755,1.2929954081764725,78.06,0.032691669517546984,89.08495440129151,0.5579706965767243,88.1,0.9849544012915175
NeSy-SMP,87.05683175318138,0.7233043342372873,86.45,0.6068317531813818,78.21537979438922,1.1082464470219742,80.35,-2.134620205610773,78.31654733105802,1.5614488703983247,81.86,-3.543452668941981,78.37344131031327,1.9959441469804844,79.14,-0.7665586896867325,89.49427473789908,0.9334654602423854,88.33,1.1642747378990776
RF,87.49931930021219,0.3480298027518916,84.78,2.7193193002121916,72.69291813796532,1.3737020596044416,74.77,-2.0770818620346745,85.73488661263517,0.39310473023305675,83.07,2.664886612635172,68.38472449666246,1.3325109773445447,71.48,-3.0952755033375468,89.52872413978237,0.9461423346309247,88.11,1.4187241397823698
XGBoost,88.51219063686783,0.3564714814366793,85.31,3.202190636867826,78.68217065863183,0.9410872911424617,77.86,0.8221706586318334,82.28574922827588,0.9028320792260244,80.9,1.3857492282758699,76.27473756883857,1.4091589747469582,75.86,0.41473756883857504,90.86386586701157,0.8945079321824002,88.56,2.3038658670115666
