model,point_bin_Acc,point_bin_F1,point_bin_Prec,point_bin_Rec,point_bin_AUC,point_mac_Acc,point_mac_F1,point_mac_Prec,point_mac_Rec,point_mac_AUC,boot_bin_Acc_mean,boot_bin_F1_mean,boot_bin_Prec_mean,boot_bin_Rec_mean,boot_bin_AUC_mean,boot_mac_Acc_mean,boot_mac_F1_mean,boot_mac_Prec_mean,boot_mac_Rec_mean,boot_mac_AUC_mean,boot_bin_Acc_lo,boot_bin_F1_lo,boot_bin_Prec_lo,boot_bin_Rec_lo,boot_bin_AUC_lo,boot_mac_Acc_lo,boot_mac_F1_lo,boot_mac_Prec_lo,boot_mac_Rec_lo,boot_mac_AUC_lo,boot_bin_Acc_hi,boot_bin_F1_hi,boot_bin_Prec_hi,boot_bin_Rec_hi,boot_bin_AUC_hi,boot_mac_Acc_hi,boot_mac_F1_hi,boot_mac_Prec_hi,boot_mac_Rec_hi,boot_mac_AUC_hi
BiLSTM,87.96311104003411,63.320337881741395,70.51374819102749,57.45872641509434,89.4566046253857,87.96311104003411,78.06027097517973,80.74608947531993,76.07757691223904,89.4566046253857,87.96307372461219,63.31363495814701,70.50651349097441,57.458705013541994,89.46254439230493,87.96307372461219,78.05685723633135,80.74300635424993,76.07708049038307,89.46254439230493,87.50999520230289,61.94223958484867,68.79454047666759,55.761954379048156,88.884957529277,87.50999520230289,77.24431698839302,79.8607948209047,75.19326445639574,88.884957529277,88.4108961032038,64.67749836833909,72.16298785306414,59.097846972392404,90.07986168029123,88.4108961032038,78.8473644887581,81.61863766508603,76.9295018428672,90.07986168029123
LTN,87.10485633562557,64.21068205355822,64.44906444906445,63.97405660377359,88.75064978586803,87.10485633562557,78.17315857611426,78.25493762993763,78.09231885957534,88.75064978586803,87.103939442401,64.20363498270645,64.44014839196689,63.975682579821004,88.75447462709845,87.103939442401,78.16927086618848,78.25101028487882,78.09210825467645,88.75447462709845,86.63574817420971,62.913417922519336,62.77053647840164,62.37815017892175,88.13894290325452,86.63574817420971,77.41495089593374,77.43006511740235,77.29909575285627,88.13894290325452,87.5742310357695,65.5714347210833,66.03666335808056,65.66809994906346,89.38907119895926,87.5742310357695,78.96097808973987,79.11979232540276,78.95855783461263,89.38907119895926
NeSy-SMP,87.05687936457167,64.40926414541191,64.05247813411079,64.77004716981132,88.8883786823885,87.05687936457167,78.24971938049849,78.12839837294618,78.37318002402846,88.8883786823885,87.05756703449012,64.41014987556747,64.04504093064087,64.78612565162126,88.89484425147356,87.05756703449012,78.25019746245015,78.12666061737602,78.37955061130022,88.89484425147356,86.58230715923024,63.07441885979643,62.43026987450233,63.20293754354041,88.2904136783802,86.58230715923024,77.52266447857542,77.30514132560918,77.5649956414705,88.2904136783802,87.53664907511062,65.72778781760431,65.56407180869166,66.32189266546669,89.53890169998223,87.53664907511062,79.01747702883605,78.93818091997248,79.2122397832475,89.53890169998223
RF,87.49933365317982,52.65495659196446,83.53619474695708,38.443396226415096,89.49891360867628,87.49933365317982,72.72698697094,85.69762406262844,68.38549065566866,89.49891360867628,87.504851004851,52.669365855369385,83.55212623824296,38.460928552560596,89.50392683374082,87.504851004851,72.73569311021232,85.70792780193034,68.39493350844504,89.50392683374082,87.03009222239992,51.026483581986774,81.72357974895112,36.80615274224499,88.88804689887792,87.03009222239992,71.81009979961864,84.76936417314685,67.57646435349173,88.88804689887792,87.97910336371875,54.36790080012586,85.30073281225647,40.15815782239353,90.06035776661585,87.97910336371875,73.64820229729258,86.62222752200638,69.23270704885397,90.06035776661585
XGBoost,88.51218081987314,64.25609553823189,73.45468335229427,57.10495283018868,90.83877130115869,88.51218081987314,78.70621792377312,82.21487424034513,76.27486855409349,90.83877130115869,88.51706914014606,64.26885742079637,73.46103276634422,57.12773369249514,90.8438559616337,88.51706914014606,78.71392892962972,82.22075791553955,76.286296428669,90.8438559616337,88.05373420758036,62.82573341253491,71.72413120662758,55.417239843927085,90.32325845755682,88.05373420758036,77.90203177905425,81.33766592775048,75.41755912782727,90.32325845755682,88.9706274321659,65.60634099390565,75.11336595129545,58.72729726781916,91.36272342851703,88.9706274321659,79.4886729339204,83.07908083083741,77.08631402296407,91.36272342851703
