model,point_bin_Acc,point_bin_F1,point_bin_Prec,point_bin_Rec,point_bin_AUC,point_mac_Acc,point_mac_F1,point_mac_Prec,point_mac_Rec,point_mac_AUC,boot_bin_Acc_mean,boot_bin_F1_mean,boot_bin_Prec_mean,boot_bin_Rec_mean,boot_bin_AUC_mean,boot_mac_Acc_mean,boot_mac_F1_mean,boot_mac_Prec_mean,boot_mac_Rec_mean,boot_mac_AUC_mean,boot_bin_Acc_lo,boot_bin_F1_lo,boot_bin_Prec_lo,boot_bin_Rec_lo,boot_bin_AUC_lo,boot_mac_Acc_lo,boot_mac_F1_lo,boot_mac_Prec_lo,boot_mac_Rec_lo,boot_mac_AUC_lo,boot_bin_Acc_hi,boot_bin_F1_hi,boot_bin_Prec_hi,boot_bin_Rec_hi,boot_bin_AUC_hi,boot_mac_Acc_hi,boot_mac_F1_hi,boot_mac_Prec_hi,boot_mac_Rec_hi,boot_mac_AUC_hi
BiLSTM,86.27372226127122,72.7308996608817,75.9899958315965,69.73986228003061,88.93091240912028,86.27372226127122,81.77974033698227,82.76351643431677,80.9488964225204,88.93091240912028,86.28667536901295,72.75001487371689,76.02337886031944,69.75385764912932,88.92613162270376,86.28667536901295,81.79349864489987,82.78284031978826,80.96230915204393,88.92613162270376,85.60046189376443,71.28248636205836,74.34611991639612,67.91999002549042,88.11337386445712,85.60046189376443,80.83630729826872,81.87079131347753,79.9551643881229,88.11337386445712,87.01676875188272,74.23803646187321,77.6958285769908,71.58893323359952,89.76222991849177,87.01676875188272,82.77066630706456,83.73232762211818,82.01727066003248,89.76222991849177
LTN,86.07289888543026,72.7236971484759,74.82800485633346,70.734506503443,88.93324055473408,86.07289888543026,81.68646261050843,82.30582935124366,81.1330803449822,88.93324055473408,86.08817150316297,72.74852125980512,74.86307364646271,70.75751112946467,88.93666337446997,86.08817150316297,81.70377887707802,82.3273930626575,81.15097737083616,88.93666337446997,85.36976604076715,71.37455434362717,73.26992852013444,69.00486095578589,88.12984166479339,85.36976604076715,80.82220225470759,81.38765796567803,80.2069942336652,88.12984166479339,86.76573953208153,74.18923641433209,76.55324856500688,72.61644748675324,89.79598120720647,86.76573953208153,82.57633220424528,83.24209352096533,82.07231138130031,89.79598120720647
NeSy-SMP,85.70137564012451,72.61538461538461,73.00850734725445,72.22647283856159,87.83295477095369,85.70137564012451,81.47007850146863,81.58088462439353,81.36170476509427,87.83295477095369,85.71460990059242,72.62800063028286,73.05045398799429,72.21767509105717,87.84300475929774,85.71460990059242,81.48111075897573,81.60130792928419,81.36791753864178,87.84300475929774,85.00828396425344,71.28906149794473,71.47858908493482,70.41711245751442,86.98995388672489,85.00828396425344,80.61469513472004,80.71796534306391,80.43758732339974,86.98995388672489,86.40475951400744,74.01126802422988,74.71132701447254,73.96175733973416,88.73818817690179,86.40475951400744,82.39275303294478,82.53806646855409,82.32540530692317,88.73818817690179
RF,86.28376343006326,68.48177203507153,86.27906976744187,56.77123182861516,90.2410906763237,86.28376343006326,79.85818581219696,86.28190653076547,76.77908085644509,90.2410906763237,86.27571041269204,68.4485447171897,86.2873132749208,56.72852190189033,90.23461278033678,86.27571041269204,79.83912875996123,86.28026078426352,76.76006480768606,90.23461278033678,85.64062656893262,66.89915540593825,84.6291839407664,54.89578277923828,89.49168069648466,85.64062656893262,78.90805716892979,85.37279437811048,75.81944553942222,89.49168069648466,86.98689627472638,70.00942877623942,87.81987175035303,58.52240776203242,90.94259627748822,86.98689627472638,80.83674963113957,87.15460097094031,77.71761007333211,90.94259627748822
XGBoost,87.35816849081233,73.85254413291797,80.78146297137665,68.01836266258607,91.36776731877315,87.35816849081233,82.75822598289942,85.00274489120521,81.12967146063272,91.36776731877315,87.35985540716939,73.85043987104434,80.79191575484899,68.01436500581794,91.36109034624262,87.35985540716939,82.7575710911575,85.00737009159127,81.1297446341786,91.36109034624262,86.7155336881213,72.56021821360972,79.09419331364587,66.27729770026919,90.71282130893184,86.7155336881213,81.93878579921869,84.08711843976877,80.24388534865948,90.71282130893184,88.00105432272316,75.22712519032784,82.43632205896084,69.79509819284945,91.9865346176694,88.00105432272316,83.6364570470865,85.88340447629551,82.06851675293127,91.9865346176694
