model,Acc_mean,Acc_std,Acc_paper,Acc_diff,F1_mean,F1_std,F1_paper,F1_diff,Prec_mean,Prec_std,Prec_paper,Prec_diff,Rec_mean,Rec_std,Rec_paper,Rec_diff,AUC_mean,AUC_std,AUC_paper,AUC_diff
BiLSTM,87.31868131868131,0.4709275238948604,83.53,3.788681318681313,73.91779484022264,1.381912140137848,76.82,-2.9022051597773526,76.27536215015317,1.1477136598198463,77.91,-1.6346378498468255,72.27746481395246,1.9291540647066505,76.22,-3.942535186047536,87.64614276108594,0.402392716798253,85.35,2.296142761085946
LTN,85.53846153846155,0.40918390685518347,85.65,-0.11153846153845848,74.67850622981798,0.7438197627635588,79.2,-4.521493770182019,73.10457696806887,0.49308299172930475,80.63,-7.525423031931126,76.99550758394602,1.8287851667628112,78.06,-1.0644924160539802,87.8542639593751,0.4504555912405205,88.1,-0.24573604062489096
NeSy-SMP,84.26373626373626,1.6719374852893327,86.45,-2.18626373626374,73.54068130363282,0.5775200072136839,80.35,-6.809318696367171,71.94451429385519,1.4872756146513746,81.86,-9.915485706144807,76.98760808046917,2.3837935050465204,79.14,-2.152391919530828,87.4271946148745,0.5149744017781492,88.33,-0.9028053851255038
RF,87.45604395604396,0.19856385713838132,84.78,2.676043956043955,66.04669876376191,0.8273449428604143,74.77,-8.723301236238086,83.96182657330499,0.9760118326098133,83.07,0.8918265733049964,62.34151853498266,0.6440411233753683,71.48,-9.138481465017342,87.30324430170772,0.4432815079114634,88.11,-0.8067556982922781
XGBoost,88.16483516483515,0.28465568894480187,85.31,2.8548351648351513,74.2040320002607,0.7144073509261442,77.86,-3.6559679997393033,78.99617838028193,0.9688704747084694,80.9,-1.903821619718073,71.3551324276784,0.9779658403843903,75.86,-4.504867572321601,88.91401170750774,0.4236932495258352,88.56,0.3540117075077376
