model,Acc_mean,Acc_std,Acc_paper,Acc_diff,F1_mean,F1_std,F1_paper,F1_diff,Prec_mean,Prec_std,Prec_paper,Prec_diff,Rec_mean,Rec_std,Rec_paper,Rec_diff,AUC_mean,AUC_std,AUC_paper,AUC_diff
BiLSTM,87.51648351648352,0.4860696825186033,83.53,3.986483516483517,74.14880836042387,0.5363181073156319,76.82,-2.671191639576122,76.83100027999464,1.2861450009132764,77.91,-1.0789997200053563,72.28144951486627,0.8292730581352179,76.22,-3.9385504851337316,87.76205027483428,0.3496620415082743,85.35,2.412050274834286
LTN,86.17032967032968,0.27229696029371675,85.65,0.5203296703296729,75.15527921992278,0.53360483525141,79.2,-4.044720780077228,73.92566560032174,0.47647121838160755,80.63,-6.70433439967826,76.69478233411562,0.8102333522325017,78.06,-1.365217665884387,87.83167650843038,0.2856067177945086,88.1,-0.26832349156961754
NeSy-SMP,84.95604395604394,1.5386185163241466,86.45,-1.4939560439560609,74.31693166283006,1.1253784665793625,80.35,-6.0330683371699365,72.65823976654352,1.5988929459789731,81.86,-9.201760233456483,77.28601826595161,1.7193586624085584,79.14,-1.8539817340483893,87.51030527216554,0.7043842661227332,88.33,-0.8196947278344595
RF,87.45604395604396,0.19856385713838132,84.78,2.676043956043955,66.04669876376191,0.8273449428604143,74.77,-8.723301236238086,83.96182657330499,0.9760118326098133,83.07,0.8918265733049964,62.34151853498266,0.6440411233753683,71.48,-9.138481465017342,87.30324430170772,0.4432815079114634,88.11,-0.8067556982922781
XGBoost,88.16483516483515,0.28465568894480187,85.31,2.8548351648351513,74.2040320002607,0.7144073509261442,77.86,-3.6559679997393033,78.99617838028193,0.9688704747084694,80.9,-1.903821619718073,71.3551324276784,0.9779658403843903,75.86,-4.504867572321601,88.91401170750774,0.4236932495258352,88.56,0.3540117075077376
