model,point_bin_Acc,point_bin_F1,point_bin_Prec,point_bin_Rec,point_bin_AUC,point_mac_Acc,point_mac_F1,point_mac_Prec,point_mac_Rec,point_mac_AUC,boot_bin_Acc_mean,boot_bin_F1_mean,boot_bin_Prec_mean,boot_bin_Rec_mean,boot_bin_AUC_mean,boot_mac_Acc_mean,boot_mac_F1_mean,boot_mac_Prec_mean,boot_mac_Rec_mean,boot_mac_AUC_mean,boot_bin_Acc_lo,boot_bin_F1_lo,boot_bin_Prec_lo,boot_bin_Rec_lo,boot_bin_AUC_lo,boot_mac_Acc_lo,boot_mac_F1_lo,boot_mac_Prec_lo,boot_mac_Rec_lo,boot_mac_AUC_lo,boot_bin_Acc_hi,boot_bin_F1_hi,boot_bin_Prec_hi,boot_bin_Rec_hi,boot_bin_AUC_hi,boot_mac_Acc_hi,boot_mac_F1_hi,boot_mac_Prec_hi,boot_mac_Rec_hi,boot_mac_AUC_hi
BiLSTM,87.51648351648352,55.57293703558857,62.297238053485316,50.15884221673138,87.53935221942784,87.51648351648352,74.155451449457,76.71366708252505,72.28121716485036,87.53935221942784,87.51717582417582,55.580114887975085,62.28697969064358,50.18486724360655,87.55093853220477,87.51717582417582,74.15900168174778,76.71085979100711,72.2918775336896,87.55093853220477,87.06016483516484,53.87853428263136,60.25314154089274,48.402279703412816,86.89403851533817,87.06016483516484,73.21146467144754,75.65154305696642,71.35439876362818,86.89403851533817,88.00576923076923,57.181274050159274,64.36772042491559,52.075376295584775,88.2268428311841,88.00576923076923,75.04590938762281,77.74919437422244,73.22069991707603,88.2268428311841
LTN,86.17032967032966,58.62239026795989,54.86153846153846,62.93681609601129,87.5277947750704,86.17032967032966,75.1600588078263,73.9190635451505,76.69519271645102,87.5277947750704,86.17324175824176,58.630962413657905,54.865034930065,62.960572530715666,87.533374546551,86.17324175824176,75.16500792088543,73.92318280240193,76.70634425892364,87.533374546551,85.68667582417582,57.118852559279,53.088290271891076,61.16024408616076,86.87696223782504,85.68667582417582,74.32832723166018,73.02445062775584,75.78089491331855,86.87696223782504,86.67046703296703,60.15290006507763,56.67857635861222,64.7122271668238,88.18167656544536,86.67046703296703,76.04880446191338,74.88390239130246,77.62057689867002,88.18167656544536
NeSy-SMP,84.95604395604396,57.78600061671292,51.30030112236518,66.14895870102366,87.32036259526336,84.95604395604396,74.31654781119794,72.35393828373707,77.28610165805397,87.32036259526336,84.9611098901099,57.799091080962114,51.309919309304476,66.17695943502169,87.32706623551246,84.9611098901099,74.32443391572643,72.36158272153392,77.30035344394786,87.32706623551246,84.47239010989011,56.345009073744805,49.657557168504,64.52363496044762,86.65974706266854,84.47239010989011,73.49190113497491,71.53840528668009,76.46141056590915,86.65974706266854,85.48901098901099,59.28396565562799,53.057540454437884,67.88969314112911,88.02906485145904,85.48901098901099,75.19442434380117,73.25051812116254,78.26381243431192,88.02906485145904
RF,87.45604395604396,39.10376100293412,80.02183406113537,25.87363219202259,87.29278345272579,87.45604395604396,66.05581606239934,83.93593438766095,62.341384326635364,87.29278345272579,87.45401098901098,39.08043994343067,79.99990842575146,25.860861446727046,87.31151414108692,87.45401098901098,66.04353135570555,83.92445359374405,62.3344704495428,87.31151414108692,87.0,37.06766180760659,77.36979371219857,24.28613119213861,86.65319448304234,87.0,65.01095548963276,82.62307747421116,61.5199489804576,86.65319448304234,87.94532967032967,40.953818215503574,82.81785662870067,27.37768494535347,87.97157808148934,87.94532967032967,67.06084809518671,85.30953735634449,63.112538952879504,87.97157808148934
XGBoost,88.16483516483517,55.25550477773161,67.13780918727915,46.946699611719026,88.91243357513042,88.16483516483517,74.21801389712897,78.93545000334424,71.35517449512872,88.91243357513042,88.16166483516483,55.23267748981646,67.12027008180542,46.929941975979304,88.92551528038386,88.16166483516483,74.20564334391953,78.92570994699778,71.3460715412855,88.92551528038386,87.72527472527473,53.46491976783886,65.0769035532995,44.982313757221085,88.31792288522055,87.72527472527473,73.24323120629478,77.90152160473338,70.38579941044492,88.31792288522055,88.6157967032967,56.841064863285524,69.36864445700839,48.77160172088661,89.5516185594526,88.6157967032967,75.0895987799491,80.0552171018229,72.22182374317491,89.5516185594526
