model,point_bin_Acc,point_bin_F1,point_bin_Prec,point_bin_Rec,point_bin_AUC,point_mac_Acc,point_mac_F1,point_mac_Prec,point_mac_Rec,point_mac_AUC,boot_bin_Acc_mean,boot_bin_F1_mean,boot_bin_Prec_mean,boot_bin_Rec_mean,boot_bin_AUC_mean,boot_mac_Acc_mean,boot_mac_F1_mean,boot_mac_Prec_mean,boot_mac_Rec_mean,boot_mac_AUC_mean,boot_bin_Acc_lo,boot_bin_F1_lo,boot_bin_Prec_lo,boot_bin_Rec_lo,boot_bin_AUC_lo,boot_mac_Acc_lo,boot_mac_F1_lo,boot_mac_Prec_lo,boot_mac_Rec_lo,boot_mac_AUC_lo,boot_bin_Acc_hi,boot_bin_F1_hi,boot_bin_Prec_hi,boot_bin_Rec_hi,boot_bin_AUC_hi,boot_mac_Acc_hi,boot_mac_F1_hi,boot_mac_Prec_hi,boot_mac_Rec_hi,boot_mac_AUC_hi
BiLSTM,88.22625920237276,67.39991201055874,69.53101361573374,65.39556061468413,90.78417433094646,88.22625920237276,80.10786732609506,80.86206561629008,79.42127871301656,90.78417433094646,88.22758328478365,67.36811192199386,69.49379684938584,65.37494856842773,90.77816439409786,88.22758328478365,80.09304797746407,80.84615115444548,79.41062340302851,90.77816439409786,87.77580636618823,66.10100608415698,67.91440976277754,63.80020046851543,90.2196181401377,87.77580636618823,79.36680688296401,80.03548873103276,78.5847951029778,90.2196181401377,88.69763254064932,68.64907868042633,71.0167377459883,66.94419157720489,91.31677798173209,88.69763254064932,80.83637162202477,81.63507703565475,80.25159322875069,91.31677798173209
LTN,88.5281499920555,67.84441805225653,70.91868404717566,65.02561183836085,89.61300907239416,88.5281499920555,80.43158825645122,81.53508121510708,79.464065110955,89.61300907239416,88.52978126158573,67.81006800894227,70.88690231352776,64.99543730941534,89.61351702560836,88.52978126158573,80.415641108724,81.52106407844964,79.44975451815684,89.61351702560836,88.10431121232986,66.546710481569,69.32269360545945,63.48047017722297,88.97016010956546,88.10431121232986,79.68343107350587,80.71519584710926,78.66290582884997,88.97016010956546,88.99965573857317,69.12789304170904,72.46579247549285,66.59361292877796,90.25460961543277,88.99965573857317,81.18224368729588,82.33261653893521,80.2561038132185,90.25460961543277
NeSy-SMP,88.14151792807584,68.46922968595972,67.77251184834124,69.18042117245304,90.58058500318094,88.14151792807584,80.58339668310249,80.34565176567709,80.82890389005941,90.58058500318094,88.13667178645198,68.4219939664426,67.7216496399857,69.14371723801494,90.57572877694905,88.13667178645198,80.5590172406301,80.32066384992807,80.80883556771524,90.57572877694905,87.70721889730417,67.15082972470128,66.16975495227625,67.61233467652161,90.01126574669628,87.70721889730417,79.81533585236191,79.51907246795389,79.97371123127179,90.01126574669628,88.59197076426037,69.7298466262598,69.24406617660698,70.67097734338157,91.16035306107757,88.59197076426037,81.32729133285875,81.13083031700589,81.62373005083076,91.16035306107757
RF,88.51226100312483,59.40482874789444,86.76872607982504,45.16220830961867,90.60849815326539,88.51226100312483,76.35715387855872,87.73399944619918,71.7937025800062,90.60849815326539,88.51856363540067,59.365623556543156,86.76630180750423,45.12237784371001,90.60740229797683,88.51856363540067,76.3400629024037,87.73616278865791,71.77541733833613,90.60740229797683,88.09371855304273,57.914295066369725,85.26009711772285,43.5919728452437,90.06899898105267,88.09371855304273,75.53499926698886,86.94123017296509,70.99859694542594,90.06899898105267,88.95728510142472,60.926951744524054,88.22340189616584,46.73120550290675,91.13649359652887,88.95728510142472,77.20223732240414,88.51278854059858,72.6131478712571,91.13649359652887
XGBoost,89.33848842751972,68.2842287694974,76.49135192375573,61.66761525327262,92.11852864643278,89.33848842751972,80.93823088960306,84.04889131581605,78.66682643316979,92.11852864643278,89.345378952386,68.26709481116737,76.473404566268,61.65732995853445,92.1185010906257,89.345378952386,80.93233487461397,84.04422720642795,78.66277407888552,92.1185010906257,88.88300407817383,66.82805132191712,74.78631610563637,59.98291629035027,91.62032045460326,88.88300407817383,80.1072317674668,83.18495779187107,77.81909057108493,91.62032045460326,89.78364493406069,69.64330796553433,78.14482320783387,63.365861842573366,92.59501533086474,89.78364493406069,81.73196541194328,84.8689243983105,79.5352594796946,92.59501533086474
