model,Acc_mean,Acc_std,Acc_paper,Acc_diff,F1_mean,F1_std,F1_paper,F1_diff,Prec_mean,Prec_std,Prec_paper,Prec_diff,Rec_mean,Rec_std,Rec_paper,Rec_diff,AUC_mean,AUC_std,AUC_paper,AUC_diff
BiLSTM,88.22625682655502,0.3945150369060793,83.53,4.696256826555015,80.06599656869344,0.9868539360249513,76.82,3.2459965686934424,81.00111124586901,0.8679344152319457,77.91,3.0911112458690155,79.42233581374589,1.9551375270848976,76.22,3.20233581374589,90.91300703229751,0.30019410563019344,85.35,5.56300703229752
LTN,88.52814397355988,0.36805999081143054,85.65,2.8781439735598724,80.39965040401212,0.8169572260884899,79.2,1.199650404012118,81.67288625024278,0.9774133366940774,80.63,1.0428862502427876,79.46383792110512,1.7157353503833994,78.06,1.4038379211051222,90.9239207967759,0.40970465613610907,88.1,2.8239207967759086
NeSy-SMP,88.14147881019372,0.5956028805767619,86.45,1.6914788101937148,80.5842178889732,0.848781952452423,80.35,0.2342178889732054,80.37875940241494,1.03876702490291,81.86,-1.4812405975850567,80.82852689056128,0.899164415291887,79.14,1.6885268905612776,90.9320618932614,0.4543586126593829,88.33,2.602061893261407
RF,88.5122625570469,0.13939959604699945,84.78,3.7322625570468944,76.35496934789305,0.33542738521678706,74.77,1.5849693478930504,87.75761000358862,0.7368257166495836,83.07,4.687610003588631,71.79382991818323,0.3737929553772547,71.48,0.3138299181832309,90.62531006400395,0.5107534782841415,88.11,2.5153100640039554
XGBoost,89.33848185718196,0.2573570311777509,85.31,4.0284818571819585,80.93758406805625,0.42019296094896574,77.86,3.077584068056254,84.06440304737832,0.6552273649411426,80.9,3.1644030473783147,78.66697618962829,0.4734439307068167,75.86,2.806976189628287,92.1203720455463,0.3621947173177455,88.56,3.560372045546302
