model,point_bin_Acc,point_bin_F1,point_bin_Prec,point_bin_Rec,point_bin_AUC,point_mac_Acc,point_mac_F1,point_mac_Prec,point_mac_Rec,point_mac_AUC,boot_bin_Acc_mean,boot_bin_F1_mean,boot_bin_Prec_mean,boot_bin_Rec_mean,boot_bin_AUC_mean,boot_mac_Acc_mean,boot_mac_F1_mean,boot_mac_Prec_mean,boot_mac_Rec_mean,boot_mac_AUC_mean,boot_bin_Acc_lo,boot_bin_F1_lo,boot_bin_Prec_lo,boot_bin_Rec_lo,boot_bin_AUC_lo,boot_mac_Acc_lo,boot_mac_F1_lo,boot_mac_Prec_lo,boot_mac_Rec_lo,boot_mac_AUC_lo,boot_bin_Acc_hi,boot_bin_F1_hi,boot_bin_Prec_hi,boot_bin_Rec_hi,boot_bin_AUC_hi,boot_mac_Acc_hi,boot_mac_F1_hi,boot_mac_Prec_hi,boot_mac_Rec_hi,boot_mac_AUC_hi
BiLSTM,88.6022986070653,67.5805965652305,71.79897567221511,63.83039271485487,90.78939566224498,88.6022986070653,80.33315909742053,81.8663597025796,79.04866417808208,90.78939566224498,88.59931677347598,67.5336100426192,71.75170465972879,63.789899300812124,90.7819558614409,88.59931677347598,80.30945979560785,81.84351426717066,79.02737828201401,90.7819558614409,88.17845982733965,66.23500113314057,70.14911045194235,62.12095487986829,90.23598087045154,88.17845982733965,79.56345034434983,81.01167170581915,78.20186234438522,90.23598087045154,89.09485726391611,68.86097016222097,73.25728873806369,65.29020297189706,91.32589413915312,89.09485726391611,81.07976117221197,82.6788954688789,79.8340097236533,91.32589413915312
LTN,88.23155553201632,68.19352991697681,68.60599078341014,67.78599886169607,90.02233681640607,88.23155553201632,80.48680914876655,80.62981737885544,80.34643861871815,90.02233681640607,88.23373761982945,68.16133491718284,68.57679815982316,67.75755873819408,90.02362771198926,88.23373761982945,80.4721695190928,80.61696544018007,80.33362497121117,90.02362771198926,87.79725650124463,66.98676366692038,67.04738398326548,66.17985462151583,89.39828536933496,87.79725650124463,79.75754897523768,79.83872573545607,79.53582392257012,89.39828536933496,88.69233621100577,69.4101680118726,70.12587537138113,69.36605088851758,90.60524741255219,88.69233621100577,81.20884215792451,81.43600241543336,81.18251839727205,90.60524741255219
NeSy-SMP,87.86081245696732,68.29875518672199,66.44241119483316,70.26180990324417,90.11309946188899,87.86081245696732,80.39593857855685,79.77577203328865,81.07350923352486,90.11309946188899,87.8553148667973,68.25446627228811,66.38610795470271,70.23768278602842,90.11178346647516,87.8553148667973,80.37273048235186,79.74919784484241,81.05804685108578,90.11178346647516,87.40519569938033,67.05189844093123,64.84408006466201,68.71206305438895,89.49319708923761,87.40519569938033,79.64757639133076,78.97663563091224,80.2741018726033,89.49319708923761,88.32688946560035,69.55564878925126,67.90567995244172,71.78259733197594,90.696544422402,88.32688946560035,81.14553161749308,80.55960496958659,81.85763119227776,90.696544422402
RF,88.51226100312483,59.40482874789444,86.76872607982504,45.16220830961867,90.60849815326539,88.51226100312483,76.35715387855872,87.73399944619918,71.7937025800062,90.60849815326539,88.51856363540067,59.365623556543156,86.76630180750423,45.12237784371001,90.60740229797683,88.51856363540067,76.3400629024037,87.73616278865791,71.77541733833613,90.60740229797683,88.09371855304273,57.914295066369725,85.26009711772285,43.5919728452437,90.06899898105267,88.09371855304273,75.53499926698886,86.94123017296509,70.99859694542594,90.06899898105267,88.95728510142472,60.926951744524054,88.22340189616584,46.73120550290675,91.13649359652887,88.95728510142472,77.20223732240414,88.51278854059858,72.6131478712571,91.13649359652887
XGBoost,89.33848842751972,68.2842287694974,76.49135192375573,61.66761525327262,92.11852864643278,89.33848842751972,80.93823088960306,84.04889131581605,78.66682643316979,92.11852864643278,89.345378952386,68.26709481116737,76.473404566268,61.65732995853445,92.1185010906257,89.345378952386,80.93233487461397,84.04422720642795,78.66277407888552,92.1185010906257,88.88300407817383,66.82805132191712,74.78631610563637,59.98291629035027,91.62032045460326,88.88300407817383,80.1072317674668,83.18495779187107,77.81909057108493,91.62032045460326,89.78364493406069,69.64330796553433,78.14482320783387,63.365861842573366,92.59501533086474,89.78364493406069,81.73196541194328,84.8689243983105,79.5352594796946,92.59501533086474
