model,Acc_mean,Acc_std,Acc_paper,Acc_diff,F1_mean,F1_std,F1_paper,F1_diff,Prec_mean,Prec_std,Prec_paper,Prec_diff,Rec_mean,Rec_std,Rec_paper,Rec_diff,AUC_mean,AUC_std,AUC_paper,AUC_diff
BiLSTM,88.60225304362264,0.7279744295745229,83.53,5.072253043622638,80.33711510997247,1.1307220374221756,76.82,3.5171151099724796,81.90354777887288,1.4579908988949088,77.91,3.9935477788728804,79.04871827657595,1.0247606748452707,76.22,2.8287182765759553,91.0327389350779,0.47153596369847595,85.35,5.682738935077907
LTN,88.23154642506158,0.560377239651911,85.65,2.5815464250615747,80.46679567525516,0.9652452053633845,79.2,1.2667956752551532,80.72492161622964,1.1561275760231213,80.63,0.0949216162296409,80.34565991610415,1.613183616253665,78.06,2.2856599161041515,90.78897022940475,0.5316515044582798,88.1,2.6889702294047595
NeSy-SMP,87.86080334585336,0.7659732727353221,86.45,1.4108033458533527,80.40653455901396,0.8590496026649599,80.35,0.05653455901396853,79.84671171754654,1.2873393855385669,81.86,-2.013288282453459,81.07318046028901,0.5493507881908688,79.14,1.9331804602890088,90.7062562836738,0.4341756445035728,88.33,2.376256283673797
RF,88.5122625570469,0.13939959604699945,84.78,3.7322625570468944,76.35496934789305,0.33542738521678706,74.77,1.5849693478930504,87.75761000358862,0.7368257166495836,83.07,4.687610003588631,71.79382991818323,0.3737929553772547,71.48,0.3138299181832309,90.62531006400395,0.5107534782841415,88.11,2.5153100640039554
XGBoost,89.33848185718196,0.2573570311777509,85.31,4.0284818571819585,80.93758406805625,0.42019296094896574,77.86,3.077584068056254,84.06440304737832,0.6552273649411426,80.9,3.1644030473783147,78.66697618962829,0.4734439307068167,75.86,2.806976189628287,92.1203720455463,0.3621947173177455,88.56,3.560372045546302
