model,point_bin_Acc,point_bin_F1,point_bin_Prec,point_bin_Rec,point_bin_AUC,point_mac_Acc,point_mac_F1,point_mac_Prec,point_mac_Rec,point_mac_AUC,boot_bin_Acc_mean,boot_bin_F1_mean,boot_bin_Prec_mean,boot_bin_Rec_mean,boot_bin_AUC_mean,boot_mac_Acc_mean,boot_mac_F1_mean,boot_mac_Prec_mean,boot_mac_Rec_mean,boot_mac_AUC_mean,boot_bin_Acc_lo,boot_bin_F1_lo,boot_bin_Prec_lo,boot_bin_Rec_lo,boot_bin_AUC_lo,boot_mac_Acc_lo,boot_mac_F1_lo,boot_mac_Prec_lo,boot_mac_Rec_lo,boot_mac_AUC_lo,boot_bin_Acc_hi,boot_bin_F1_hi,boot_bin_Prec_hi,boot_bin_Rec_hi,boot_bin_AUC_hi,boot_mac_Acc_hi,boot_mac_F1_hi,boot_mac_Prec_hi,boot_mac_Rec_hi,boot_mac_AUC_hi
BiLSTM,86.28376343006326,72.6032892097874,76.30691399662733,69.24254016832441,88.9048054071312,86.28376343006326,81.72757549158001,82.85492002717882,80.79553829382864,88.9048054071312,86.30121498142385,72.63246744236666,76.34833266377234,69.26864247001568,88.91137389035362,86.30121498142385,81.74780492776915,82.88018720159579,80.81595051135237,88.91137389035362,85.65091876694447,71.17465719905984,74.69419596681799,67.46475148396088,88.1017633349065,85.65091876694447,80.85565302351681,81.94455563424778,79.86161476183587,88.1017633349065,86.98689627472638,74.06687496785669,78.01188266472576,71.08731260506777,89.70321153396576,86.98689627472638,82.66989993388896,83.80489518877135,81.7774244313039,89.70321153396576
LTN,85.9323225223416,72.43753688766476,74.56460105305793,70.42846212700842,88.65239692226442,85.9323225223416,81.49682708892844,82.12208690837141,80.93921404512436,88.65239692226442,85.93794557686513,72.44737033605415,74.57226009340512,70.44736839518929,88.65275385132594,85.93794557686513,81.50318172950348,82.12874409939707,80.94922792275337,88.65275385132594,85.23923084647053,71.12304526712147,72.92372832307214,68.75179451118126,87.85277559965634,85.23923084647053,80.61688060032803,81.22832250447065,80.02618862005828,87.85277559965634,86.64549653579675,73.87231157151771,76.27673595367304,72.17687656564642,89.46459045364871,86.64549653579675,82.4421310454416,83.08916515865045,81.92173359042094,89.46459045364871
NeSy-SMP,85.9524048599257,72.54170755642787,74.48609431680774,70.69625095638867,89.07444753417086,85.9524048599257,81.55183603551677,82.12135686688207,81.03907170011401,89.07444753417086,85.95986544833819,72.55049767210149,74.50687583418353,70.70176087628158,89.08175360226905,85.95986544833819,81.55855513146217,82.13281499877338,81.04604799610463,89.08175360226905,85.28943669043076,71.1625336346027,72.82059784171813,68.9455862973314,88.27819214254853,85.28943669043076,80.66086625584664,81.22963697200251,80.10076600112588,88.27819214254853,86.70549251932925,73.91986301245241,76.27324658635565,72.38164051747867,89.87031307913847,86.70549251932925,82.48498400413952,83.0976594794219,82.00562270521502,89.87031307913847
RF,86.28376343006326,68.48177203507153,86.27906976744187,56.77123182861516,90.2410906763237,86.28376343006326,79.85818581219696,86.28190653076547,76.77908085644509,90.2410906763237,86.27571041269204,68.4485447171897,86.2873132749208,56.72852190189033,90.23461278033678,86.27571041269204,79.83912875996123,86.28026078426352,76.76006480768606,90.23461278033678,85.64062656893262,66.89915540593825,84.6291839407664,54.89578277923828,89.49168069648466,85.64062656893262,78.90805716892979,85.37279437811048,75.81944553942222,89.49168069648466,86.98689627472638,70.00942877623942,87.81987175035303,58.52240776203242,90.94259627748822,86.98689627472638,80.83674963113957,87.15460097094031,77.71761007333211,90.94259627748822
XGBoost,87.35816849081233,73.85254413291797,80.78146297137665,68.01836266258607,91.36776731877315,87.35816849081233,82.75822598289942,85.00274489120521,81.12967146063272,91.36776731877315,87.35985540716939,73.85043987104434,80.79191575484899,68.01436500581794,91.36109034624262,87.35985540716939,82.7575710911575,85.00737009159127,81.1297446341786,91.36109034624262,86.7155336881213,72.56021821360972,79.09419331364587,66.27729770026919,90.71282130893184,86.7155336881213,81.93878579921869,84.08711843976877,80.24388534865948,90.71282130893184,88.00105432272316,75.22712519032784,82.43632205896084,69.79509819284945,91.9865346176694,88.00105432272316,83.6364570470865,85.88340447629551,82.06851675293127,91.9865346176694
