model,Acc_mean,Acc_std,Acc_paper,Acc_diff,F1_mean,F1_std,F1_paper,F1_diff,Prec_mean,Prec_std,Prec_paper,Prec_diff,Rec_mean,Rec_std,Rec_paper,Rec_diff,AUC_mean,AUC_std,AUC_paper,AUC_diff
BiLSTM,86.2837991846845,0.5084379490871894,83.53,2.753799184684496,81.72250623335262,0.751840141754806,76.82,4.902506233352625,82.86657141345876,0.6832582549643766,77.91,4.956571413458761,80.7954486965422,0.8977365094187255,76.22,4.575448696542196,89.36661296257789,1.1275522832952511,85.35,4.016612962577895
LTN,85.93231792060256,0.6938040693173381,85.65,0.28231792060255145,81.45380224969077,1.2274552426096619,79.2,2.2538022496907644,82.27123372319501,1.0276207302649893,80.63,1.6412337231950147,80.94043612184419,1.9595069400028033,78.06,2.880436121844184,89.24496596291615,1.1880349027106225,88.1,1.1449659629161602
NeSy-SMP,85.95247892625247,0.7305465547926392,86.45,-0.49752107374753507,81.5425728393987,0.9759327708164744,80.35,1.1925728393987072,82.17911195451374,1.102366336851741,81.86,0.31911195451374397,81.03965650667533,1.2256715666383666,79.14,1.8996565066753277,89.15434998157095,1.1791469115130455,88.33,0.824349981570947
RF,86.28387482627647,0.6828842131410434,84.78,1.5038748262764727,79.85174694783792,1.0779278914675785,74.77,5.081746947837928,86.30974038899069,1.2411787174503144,83.07,3.239740388990697,76.77936122280532,1.054114005124996,71.48,5.299361222805317,90.27614565751333,0.9912738523320315,88.11,2.1661456575133258
XGBoost,87.35824261385068,0.7774767062296988,85.31,2.0482426138506753,82.7541326172368,1.081391811926522,77.86,4.8941326172368065,85.02683872420576,1.2023678842560879,80.9,4.126838724205754,81.12948626861869,1.1389301031003516,75.86,5.269486268618692,91.40023488688003,0.6010013414701625,88.56,2.840234886880026
